*_**********_*蓝҉雨҉直҉播҉源҉*_*********_*

虎牙,#genre#
TV9,http://135.148.104.228:19806/8ea2c8ff4dee4f88b641126386d3f885
Astro Oasis,http://135.148.104.228:19806/bf82734debfb40e19e42098b957d6714
Astro Warna,http://135.148.104.228:19806/349803c1885b42e1b7d4342f6900c19e
Astro Citra,http://135.148.104.228:19806/43e1c64801db497ca9fc99a3d867f6d0
Al-Hijrah,http://135.148.104.228:19806/17481aac956e41ac84d833ccdfcee2f8
SUN TV,http://135.148.104.228:19806/a8f4b8ee9cda45efab5792cc50b07a60
爱奇艺,http://135.148.104.228:19806/206defdef43a42fb8ee50238e76ac32c
Astro小太阳,http://135.148.104.228:19806/783861d0aade442c87f4e0dafaf6eb2a
Astro AEC(备),http://135.148.104.228:19806/645e3c400002030a71f03906176b2ff1
Astro双星,http://135.148.104.228:19806/013a1d56a616457492220b460d7f3b06
天映频道,http://135.148.104.228:19806/644b68b3000a7c162865d184572c1ff0
翡翠台(华丽台),http://135.148.104.228:19806/273abed884a24011a410ddb0ea81cb1a
Astro AOD 311,http://135.148.104.228:19806/8efee211ca7247078c8ab2db528bb701
中天亚洲台,http://135.148.104.228:19806/362649bea34241588b42dd964bdfb100
TVB星河(粤),http://135.148.104.228:19806/18d7387cc825496db789bbfa731a5707
天映经典,http://135.148.104.228:19806/644b663d000a432e285c34846b9e74d6
Astro欢喜台,http://135.148.104.228:19806/6451da7f0009db08419256457134482d
KBS World,http://135.148.104.228:19806/26152f8d16224d09bca6368ae2db3e36
ONE,http://135.148.104.228:19806/952368f8f4cf42339c651edcb6267585
Colors Hindi,http://135.148.104.228:19806/0d693f25b44b493cae09c0497b93db53
TVS,http://135.148.104.228:19806/301fb4a3cef840fe89f72011933a93d3
tvN Movies,http://135.148.104.228:19806/0c39816f6b864d57a8a7c9c956e31952
Astro Awani,http://135.148.104.228:19806/975e906650de41bcbafead57cbf0d880
CGTN,http://135.148.104.228:19806/b1f0e7e90e654f63a369f11b54428643
BBC World News,http://135.148.104.228:19806/4500941de27f434cae09553a1f0ed4d1
Al Jazeera English,http://135.148.104.228:19806/03bc1638cc9f4efe9dde7bf6a456bb5b
CNBC,http://135.148.104.228:19806/8603e70bd41c4e4a9368407a8a4debdd
Bloomberg TV,http://135.148.104.228:19806/fbf63c9e85084cf98b7e39d2cd178608
Astro Ceria,http://135.148.104.228:19806/91018054446042e183ac5f3bdc296f7c
Cartoon Network,http://135.148.104.228:19806/41375bcbd5094f538f132d3ebb9b2ea6
Nickelodeon,http://135.148.104.228:19806/f2783df879aa424b9402999698bcd55f
Nick Jr.,http://135.148.104.228:19806/05c5813e22bf4475b416ec1b35280aa3
Boomerang,http://135.148.104.228:19806/317cf636b2d448d0867cc1f976064d8a
AXN亚洲,http://135.148.104.228:19806/8add116b0e7d408f89cdf74897f02aef
KIX,http://135.148.104.228:19806/04533ea3664e43579573b50db8988450
HITS,http://135.148.104.228:19806/be8e6fe7ffd343edb7bec5d01de30204
Astro Arena,http://135.148.104.228:19806/6458c64c000b217e5c9b7a38341006fd
Astro SuperSport,http://135.148.104.228:19806/f6fc53b0b0fe47ff9bf6d40eec7705f0
Astro SuperSport 2,http://135.148.104.228:19806/584adade1c8d4db0b2823cd15b3fd0e9
Astro SuperSport 3,http://135.148.104.228:19806/644a3bac000c472123cdeea90ef57521
Astro SuperSport 4,http://135.148.104.228:19806/80de42b5188745979efecd3007daeaa8
beIN Sports 3,http://135.148.104.228:19806/ade2ee776a684bbca72d37b951bf0d61
WWE,http://135.148.104.228:19806/157d295b0933470ab2c880d58a7f14ce
Sky News,http://135.148.104.228:19806/ddc4e102601e4fcfa5432722538cf052
八度空间(备),http://135.148.104.228:19806/779aca170dba40c5b133a039f4ba2d73
Nat Geo Wild,http://135.148.104.228:19806/789748eb75bb4c3b9522742df4eaee1b
tvN,http://135.148.104.228:19806/645fb9b800079c5f77c2572e6a78418d
Drama Sangat,http://135.148.104.228:19806/4378c0b5cfe94fcfbab76372d8de0814
Berita RTM,http://135.148.104.228:19806/0425a3d913b04d29a63d5b21dd07ae65
DW,http://135.148.104.228:19806/da713062bd9d419a913b6e9b1aef8fb6
France24,http://135.148.104.228:19806/36154fded93f445f863db448232fffa4
SPOTV,http://135.148.104.228:19806/c028696060a84386bcd49c9e012904d7
beIN Sports,http://135.148.104.228:19806/46375137a35944a38e828ec083096cd9
TVB娱乐新闻台,http://135.148.104.228:19806/8378c6ce158144038e684ac97d498273
Astro AEC,http://135.148.104.228:19806/22641247176547d19a7d7cbb602de7f8
Awesome TV,http://135.148.104.228:19806/ff33379754254a2ab12710dcd052b33d
Colors Tamil,http://135.148.104.228:19806/af84ed5a76d74d05bd2d045c6313f854
BOO,http://135.148.104.228:19806/d01f4e4805c743ea82f6623c4859e3c9
TVB经典台,http://135.148.104.228:19806/d63e2f53bfab45a5ab38e79430862268
ABC Australia,http://135.148.104.228:19806/84b326c4dc92459abf1f6e0007c8680a
Eurosport,http://135.148.104.228:19806/aa9706fa55c84772a56fd959f7abdd45
Astro SuperSport 5,http://135.148.104.228:19806/09638fd935964473a20e9260baf2a756
Star Vijay,http://135.148.104.228:19806/10036c6ccb1540bf9001e66a8d0acdcb
Zee Tamil,http://135.148.104.228:19806/04dc8d8f3b2c43c296c0063b0abff6a5
TVBS亚洲,http://135.148.104.228:19806/7389e1ced8184a84aa22aeec29be6f85
Astro AOD 352,http://135.148.104.228:19806/44f1c9066e6c49578f1f23e8d6b157f0
Astro AOD 354,http://135.148.104.228:19806/8ccb8c35ce9f425ebcd93bc3839c8b0e
Astro Tutor TV SK,http://135.148.104.228:19806/9e3a1cdae41e4336be38d2cf55b11e8d
Astro Tutor TV SPM,http://135.148.104.228:19806/2e9fecb7adec4c9fa49b5c939087983c
TA-DAA!,http://135.148.104.228:19806/3389d62b2e274f3386c6e0fafca66092
eGG Network,http://135.148.104.228:19806/afc9e147576d41eda59da886563a3d1c
HITS Movies,http://135.148.104.228:19806/9e0e356e598d4116a9d0f3144516bdfa
SHOWCASE MOVIES,http://135.148.104.228:19806/beabba149e874fc8a5af2b656d596816
beIN Sports 2,http://135.148.104.228:19806/645c759a000df5e36b0043a45841498d
Golf Channel,http://135.148.104.228:19806/69981dfb0eb64aea9b1216f81dd80909

🌞马来,#genre#
天映频道,http://135.148.104.228:19806/644b68b3000a7c162865d184572c1ff0
中天亚洲台,http://135.148.104.228:19806/362649bea34241588b42dd964bdfb100
TVB星河(粤),http://135.148.104.228:19806/18d7387cc825496db789bbfa731a5707
天映经典,http://135.148.104.228:19806/644b663d000a432e285c34846b9e74d6
KBS World,http://135.148.104.228:19806/26152f8d16224d09bca6368ae2db3e36
ONE,http://135.148.104.228:19806/952368f8f4cf42339c651edcb6267585
Colors Hindi,http://135.148.104.228:19806/0d693f25b44b493cae09c0497b93db53
CGTN,http://135.148.104.228:19806/b1f0e7e90e654f63a369f11b54428643
BBC World News,http://135.148.104.228:19806/4500941de27f434cae09553a1f0ed4d1
CNBC,http://135.148.104.228:19806/8603e70bd41c4e4a9368407a8a4debdd
Bloomberg TV,http://135.148.104.228:19806/fbf63c9e85084cf98b7e39d2cd178608
Cartoon Network,http://135.148.104.228:19806/41375bcbd5094f538f132d3ebb9b2ea6
Nickelodeon,http://135.148.104.228:19806/f2783df879aa424b9402999698bcd55f
Nick Jr.,http://135.148.104.228:19806/05c5813e22bf4475b416ec1b35280aa3
Boomerang,http://135.148.104.228:19806/317cf636b2d448d0867cc1f976064d8a
AXN亚洲,http://135.148.104.228:19806/8add116b0e7d408f89cdf74897f02aef
HITS,http://135.148.104.228:19806/be8e6fe7ffd343edb7bec5d01de30204
beIN Sports 3,http://135.148.104.228:19806/ade2ee776a684bbca72d37b951bf0d61
Mediacorp 5,http://135.148.104.228:19806/b0798f0bb62f440a92ee49d38967b6d1
Mediacorp 8,http://135.148.104.228:19806/847cb3132dbe4d2897e276a271c04ec7
Suria,http://135.148.104.228:19806/0f5728d5794a47dfba667f8c528c006e
Vasantham,http://135.148.104.228:19806/2e41fd0e25664a4cb5e6debd59ea5d27
CNA,http://135.148.104.228:19806/7d55ade47df54e3497f9e0fce031943b
Mediacorp U,http://135.148.104.228:19806/c0adca0b6eff436090ff94baf3238705
Nat Geo Wild,http://135.148.104.228:19806/789748eb75bb4c3b9522742df4eaee1b
Euronews,http://135.148.104.228:19806/3169ef1a720442cd91af30a39cc13822
Fight Sports,http://135.148.104.228:19806/78bd0cc13a8840fcb8af0440258a8357
GEM,http://135.148.104.228:19806/3f6fedbbb9a24f55bb349e7c75d109c4
Fox News,http://135.148.104.228:19806/bc919a2d3c4f4a7a9633ded99e69d801
beIN Sports,http://135.148.104.228:19806/46375137a35944a38e828ec083096cd9
HGTV居家乐活频道,http://135.148.104.228:19806/d6ed657bb866458a91e28701a1b0bcf1
TV5Monde,http://135.148.104.228:19806/5206358477b44788b15c15f7ad658464
东森亚洲卫视,http://135.148.104.228:19806/4314e2707d7141b78dd0fde4fbf5eae1
Thrill,http://135.148.104.228:19806/14f535a7ec5a4939a67e7165f94ca38e
Hub Premier 1,http://135.148.104.228:19806/4b83405f738042d084055fee7295f311
Hub都会台,http://135.148.104.228:19806/645c74d7000adccb6afd49206a723c63
TVBS亚洲,http://135.148.104.228:19806/7389e1ced8184a84aa22aeec29be6f85
Hub娱家,http://135.148.104.228:19806/645c74d80002def46afd4af57b744ca1
NBA,http://135.148.104.228:19806/65f8f2a53b6342ffb4b8d2a8542bc623
beIN Sports 2,http://135.148.104.228:19806/645c759a000df5e36b0043a45841498d
Hub Sports 1,http://135.148.104.228:19806/5b7034df7dcd4ccabcb0137f0991a274
Hub Sports 2,http://135.148.104.228:19806/2d881919b62242f4930fda32837eb7df
Hub Sports 3,http://135.148.104.228:19806/6101d0aff0654f73812cb15c57df9f59
Hub Sports 4,http://135.148.104.228:19806/6324a78a0d4549fc859b68804438bbe6
Hub Sports 5,http://135.148.104.228:19806/58395e1ea80a40069a5e30c9917d1a97
Hub Premier 2,http://135.148.104.228:19806/a52cc083e7324b2dbd8090feecc66033
Hub Premier 3,http://135.148.104.228:19806/758cc0162ca14f8fa7c343d94a60bbaa
Hub Premier 4,http://135.148.104.228:19806/63c113c5000c33e60c09bddc378b7580	
Hub Premier 5,http://135.148.104.228:19806/8e3b8175500b492484df4112711ca978

🌞日本,#genre#
NHK-G综合,http://135.148.104.228:19806/b5bda0c5078d430c942c13681802be15
NHK-E教育,http://135.148.104.228:19806/58fb2dd485204529b771b2d8acae096e
日本テレビ,http://135.148.104.228:19806/6ad6d0d970294894b751bb9be6714fb1
TBSテレビ,http://135.148.104.228:19806/209a9b54c5064c2fbbd0b9836a28ad6e
テレビ东京,http://135.148.104.228:19806/51bbd32c263f406d85a05cacd01f062f
フジテレビ,http://135.148.104.228:19806/17331df7df384a93840003f270f99b43
読売テレビ,http://135.148.104.228:19806/df1027136d3b4ccb8399435896f10c77
関西テレビ,http://135.148.104.228:19806/4e41469b0a4848bdbcc0a670412f0df2
KBS京都,http://135.148.104.228:19806/fb929986f9004ade9ae0d010eb7c0d46
毎日放送,http://135.148.104.228:19806/643479c21af04293ad48ccf48ea9eee1
朝日放送,http://135.148.104.228:19806/ef7250cb2aa5496d91d45ad06f2fb1d5
テレビ大坂,http://135.148.104.228:19806/a56ecb4b782d452286964d9a863b17e5
テレビ朝日,http://135.148.104.228:19806/4a60e75cead54877bc7d0e2f3afc1727
BS-1,http://135.148.104.228:19806/dc55be8e1f7649ac9ff0b762c56846aa
BS钓りビジョン,http://135.148.104.228:19806/65cc4b331feb43ec975cd6626743d2fc
BS日テレ,http://135.148.104.228:19806/ec48c7c85632469cae7b000167942622
BS朝日,http://135.148.104.228:19806/23b79683a7b74c6baf1f643bbb782123
BS-TBS,http://135.148.104.228:19806/19cee2f930cf46c88ee80eda11c9bb7b
BS11,http://135.148.104.228:19806/0f1b7b82d6574192a644f43e101c5e29
BSフジ,http://135.148.104.228:19806/302d55abd58f4f8fb79146cf6d177c13
WOWOWプライム,http://135.148.104.228:19806/5c2d5bb35c284c6bbee94fb0568fd4ae
WOWOWライブ,http://135.148.104.228:19806/7cc73c16476a40e4b4b10e9172b9ff9f
WOWOWシネマ,http://135.148.104.228:19806/50a55d71db5b41ba8dfbf1e49fafd739
スター・チャンネル1,http://135.148.104.228:19806/31599351174a4ef9ab8309f567c38e38
スター・チャンネル2,http://135.148.104.228:19806/f3da7df8f3f14bbe96ba4b931f2b48aa
スター・チャンネル3,http://135.148.104.228:19806/3d8b400d2dd44c2a9ff39add631ba83d
BSアニマックス,http://135.148.104.228:19806/644e9b26000b068834e2e2eb6d6b487d
J Sports 1,http://135.148.104.228:19806/ec9e8e130dc8450f9ab54033ec0838cb
J Sports 2,http://135.148.104.228:19806/61de10ba994a49ebaedf836962f9065a
J Sports 3,http://135.148.104.228:19806/00003bb75b5044739df061845fc5ddce
J Sports 4,http://135.148.104.228:19806/8b6d39de46c7464297947f368e623270
BS12,http://135.148.104.228:19806/2b8209d5bdd44c2696d51bc158781e38
ゴルフネットワーク,http://135.148.104.228:19806/6d430a8f344b4f2abad882e9350aac5a
时代剧専门チャンネル,http://135.148.104.228:19806/78ea3f42a8104730930a93ac5a5a869b
Music Japan TV,http://135.148.104.228:19806/f898f0324e99499296ee859f4eb8d3ea
キッズステーション,http://135.148.104.228:19806/80628310ccbf423b8b4a7eb4e1af2a05
ディスカバリーチャンネル,http://135.148.104.228:19806/ab98b0888ba14ad68180456db43a48bd
ナショナルジオグラフィック,http://135.148.104.228:19806/0e1814dec67c48adbfe97a6f9a0df2d8
日テレNEWS 24,http://135.148.104.228:19806/01af57ffc3354d66a320ebb2edd87262
旅チャンネル,http://135.148.104.228:19806/9d587c6310714b42bad0eba86ca501c4
チャンネル银河,http://135.148.104.228:19806/708c0b0d85dd45acba478d21c0ace2f6

🌞韩国,#genre#
Arirang,http://135.148.104.228:19806/645d0a5a00075deb6d454fee5aa940d7
KBS1,http://135.148.104.228:19806/ffbb98a195ce4646b450482011ab1f39
KBS2,http://135.148.104.228:19806/a60d87656be445cbbdd549af1bba1148
KBS Drama,http://135.148.104.228:19806/b87ff391346d41adabdff2557eb1b468
KBS Joy,http://135.148.104.228:19806/61eb591517014f02b627a6fa4479b45d
SBS,http://135.148.104.228:19806/6751677afd4345bfac27cfff31713854
SBS Biz,http://135.148.104.228:19806/01dbd835b88940cd91eb45190a71c1de
JTBC,http://135.148.104.228:19806/132ccdb9253f4c4898e685a841b896ea
EBS,http://135.148.104.228:19806/c74fd79cd39a4ce382c1fe22090ffb73
YTN,http://135.148.104.228:19806/9a05e5a1bc4c4f8f871bc4246475360b
Mnet,http://135.148.104.228:19806/4d5973be862e438f909863fcfc0a7e62
tvN,http://135.148.104.228:19806/645fb9b800079c5f77c2572e6a78418d
OCN,http://135.148.104.228:19806/5fce44dd2efb4d72879eb4f033db50a7
OCN Movies,http://135.148.104.228:19806/bf871edfcc0f476caa7d98d1b9b01cae
TV Chosun,http://135.148.104.228:19806/113336cc563149d598fad5b95277a955
MBC,http://135.148.104.228:19806/bf799ab550fc4a24805351d49d5b61a2
MBN,http://135.148.104.228:19806/a2c12bef09204f61adf2b42e1c529bf6
Tooniverse,http://135.148.104.228:19806/90c2674d219745d5b32cfc5053a01016
SPOTV,http://135.148.104.228:19806/441089d1c6864877a82d8dbde582d645
SPOTV 2,http://135.148.104.228:19806/d33cf3ddad0444cfaf5118ccc834c1e7
JTBC GOLF,http://135.148.104.228:19806/02b7cdb589a64a05850e5eda673b041d
Channel 5,http://135.148.104.228:19806/1045ae1287b44480b9d6f511acb6a7b1
NBT,http://135.148.104.228:19806/960f748e986045cea386b0c70e63b423
TNN 16,http://135.148.104.228:19806/714715de5cfd4051a54105cc4ef30af6
JKN 18,http://135.148.104.228:19806/0df418fddf7446a5869f69f1418415d6
Voice TV,http://135.148.104.228:19806/08721ce1643b41fba96c063b57a1f8f3
Nation TV,http://135.148.104.228:19806/7d87284193a64a7f9f518849c02d7441
Workpoint TV,http://135.148.104.228:19806/68f16fa3c8b34dc89e2134261293b583
true4U,http://135.148.104.228:19806/20a3f56a870340c49b40ce4a1bc5c5eb
GMM 25,http://135.148.104.228:19806/f4228beab2744d07a67571c5e28f084e
Channel 8,http://135.148.104.228:19806/119678a4b6e54d1bac8b215c21d5ad13
Mono 29,http://135.148.104.228:19806/01a45cae5b314975b90bb3cfba296f17
MCOT,http://135.148.104.228:19806/73b0a7b586af42f39db7fcdb646e89d8
ONE,http://135.148.104.228:19806/46709f19c5a2466f9ae889037f66615a

*_**********_*蓝҉雨҉直҉播҉源҉*_*********_*
